"phenotype_id","target_table","category","field_or_phenotype","data_type","allowed_values_or_format","unit","description","examples_observed_in_reports","extraction_notes"
"microchip_id_present","dog_summary","identity_and_source","microchip_id_present","boolean","yes|no|unknown|not_reported","","Whether a microchip id is reported.","MC# in sample report; microchip in sample report and sample report","Prefer boolean in phenotype outputs."
"microchip_id_hash","dog_summary","identity_and_source","microchip_id_hash","string","","","Optional hashed microchip id for linkage without exposing identifier.","Microchip values in multiple reports","Do not export raw identifier unless approved."
"rabies_tag_or_id_present","dog_summary","identity_and_source","rabies_tag_or_id_present","boolean","yes|no|unknown|not_reported","","Whether a rabies id/tag/date is reported.","Rabies tag/reminder in many reports","Dates go in preventive/vaccine context."
"source_facility","dog_summary","identity_and_source","source_facility","string","","","Clinic, hospital, lab, or source system.","New Hope; East Maryland; TAMU; Northeast; Kingdom Animal Hospital","Useful for source-specific parsing."
"owner_location_region","dog_summary","identity_and_source","owner_location_region","string","","","Optional coarse region only.","Seattle WA; Phoenix AZ; Texas","Avoid owner address in phenotype tables."
"visit_id","visit_summary","visit_and_vitals","visit_id","string","","","Stable visit or event id.","SOAP entries; discharge summaries; lab panels","One row per dated event."
"visit_date","visit_summary","visit_and_vitals","visit_date","date","YYYY-MM-DD","","Visit, test, procedure, discharge, or note date.","02/17/2023; 10-27-21; Oct 30 2013","Convert only when unambiguous."
"document_date","visit_summary","visit_and_vitals","document_date","date","YYYY-MM-DD","","Printed/report date when distinct from visit date.","Printed dates and report dates","Useful for old chart exports."
"visit_type","visit_summary","visit_and_vitals","visit_type","enum","wellness|sick_exam|recheck|surgery|dental|rehab|lab_result|imaging|pathology|telecom|medication_refill|unknown","","Visit or note type.","Annual exam; sick exam; surgery; rehab; lab result","Classify at chunk level."
"visit_reason_raw","visit_summary","visit_and_vitals","visit_reason_raw","string","","","Reason/complaint exactly as written.","Bloody Nose; Check Ears; Limping; Coughing; New skin lesion","Retain source phrasing."
"chief_complaint_normalized","visit_summary","visit_and_vitals","chief_complaint_normalized","string","","","Normalized chief complaint phrase.","cough; diarrhea; skin lesion; lameness; vomiting","May map to a clinical_sign phenotype."
"age_at_visit_years","visit_summary","visit_and_vitals","age_at_visit_years","number","","years","Dog age at event if derivable.","Age 2y; 7 month old puppy","Use DOB plus visit date when possible."
"weight_lb","visit_summary","visit_and_vitals","weight_lb","number","","lb","Body weight in pounds.","37.70 lbs; 80.4 lbs; 33.40 pounds","Normalize kg to lb if needed."
"weight_kg","visit_summary","visit_and_vitals","weight_kg","number","","kg","Body weight in kilograms.","24.5 kg; 27 kg","Normalize lb to kg if needed."
"weight_trend","visit_summary","visit_and_vitals","weight_trend","enum","stable|gain|loss|failure_to_gain|not_reported|unknown","","Longitudinal weight interpretation.","weight loss; failure to gain weight; gaining strength and weight","Do not infer from one measurement."
"body_condition_score","visit_summary","visit_and_vitals","body_condition_score","number","0-9 or 1-5 scale","","BCS numeric score.","5/9; 4/9; 2.5/9; 7.00/9.00","Also store scale."
"body_condition_scale","visit_summary","visit_and_vitals","body_condition_scale","string","/9|/5|unknown","","BCS scale.","BCS 5/9; Pain Score 1/5","Required if score is present."
"muscle_condition_score","visit_summary","visit_and_vitals","muscle_condition_score","number","","","Muscle condition score.","MCS 3 in sample report","Keep scale if stated."
"pain_score","visit_summary","visit_and_vitals","pain_score","number","","","Pain score.","Pain Score 0-4; Pain Score 1/5","Also store scale."
"pain_score_scale","visit_summary","visit_and_vitals","pain_score_scale","string","/4|/5|unknown","","Pain score scale.","Pain score 0-4; 1/5","Do not mix scales."
"temperature_f","visit_summary","visit_and_vitals","temperature_f","number","","F","Temperature.","101.6 F; 100.8 F; 103.8","Normalize Celsius if encountered."
"heart_rate_bpm","visit_summary","visit_and_vitals","heart_rate_bpm","number","","bpm","Pulse or heart rate.","Pulse 120; HR 110","Use source label in evidence."
"respiratory_rate_bpm","visit_summary","visit_and_vitals","respiratory_rate_bpm","number","","breaths/min","Respiration or respiratory rate.","RR 40; Respiration 20","Panting can be text if no number."
"crt_seconds","visit_summary","visit_and_vitals","crt_seconds","string","","sec","Capillary refill time.","CRT <2 sec; CRT 1-2 sec","Retain inequality/range."
"mucous_membrane_color","visit_summary","visit_and_vitals","mucous_membrane_color","string","","","Mucous membrane color/moisture.","pink moist; pink dry","Can indicate dehydration/shock."
"hydration_status","visit_summary","visit_and_vitals","hydration_status","enum","normal|adequate|mild_dehydration|dehydrated|euhydrated|not_reported|unknown","","Hydration state.","mildly dehydrated; euhydrated; hydration adequate","Do not infer from normal exam unless explicit."
"mentation_attitude","visit_summary","visit_and_vitals","mentation_attitude","string","","","BAR/BARH/QAR/lethargic/nervous/excited etc.","BAR; BARH; QAR; nervous; lethargic","Retain abbreviations."
"normal_systems_raw","visit_summary","visit_and_vitals","normal_systems_raw","string","","","Systems explicitly described as normal.","Normal Systems blocks","Silence is not normal."
"abnormal_systems_raw","visit_summary","visit_and_vitals","abnormal_systems_raw","string","","","Systems explicitly described as abnormal.","Integumentary; mucous membranes; neurologic; skin","Use phenotype_events for details."
"current_medications_raw","visit_summary","lifestyle_exposure_context","current_medications_raw","string","","","Current meds and supplements listed at visit.","Fluconazole; prednisone; gabapentin; Denamarin; yunnan baiyao","Context, not automatically a diagnosis."
"current_diet_raw","visit_summary","lifestyle_exposure_context","current_diet_raw","string","","","Current diet listed at visit.","Hills Science Diet; Purina Pro Plan; Royal Canin HP; homemade; Acana","Retain brand/formula."
"diet_type","visit_summary","lifestyle_exposure_context","diet_type","enum","kibble|canned|homemade|raw|prescription|hypoallergenic|bland|mixed|unknown|not_reported","","Diet category.","kibble; canned; homemade; hypoallergenic; bland diet","Can derive from diet_raw with evidence."
"diet_amount_raw","visit_summary","lifestyle_exposure_context","diet_amount_raw","string","","","Amount/frequency as written.","5-6 cups/day; 2 cups twice daily; free choice","Do not standardize unless clear."
"appetite_status","visit_summary","lifestyle_exposure_context","appetite_status","enum","normal|decreased|increased|picky|waxing_waning|anorexic|not_reported|unknown","","Appetite phenotype.","picky eater; not eating; appetite/drinking well; appetite up/down","Also add clinical sign if abnormal."
"water_intake_status","visit_summary","lifestyle_exposure_context","water_intake_status","enum","normal|increased|decreased|not_drinking|not_reported|unknown","","Drinking or water intake.","Drinking normal; drinks and urinates normally; not drinking","Also add PU/PD if increased."
"urination_status_owner_reported","visit_summary","lifestyle_exposure_context","urination_status_owner_reported","enum","normal|increased|decreased|incontinence|stranguria|incomplete_emptying|not_reported|unknown","","Owner-reported urination pattern.","normal; incomplete bladder emptying; Proin use","Also add urinary phenotype event."
"defecation_status_owner_reported","visit_summary","lifestyle_exposure_context","defecation_status_owner_reported","string","","","Owner-reported stool/defecation status.","loose stool; normal BM; bloody stool; smaller BM","Preserve raw text."
"environment_exposure_raw","visit_summary","lifestyle_exposure_context","environment_exposure_raw","string","","","Environment/exposure notes.","indoor dog; yard; dog parks; irrigation; boarding; travel","Supports infectious/allergy context."
"heartworm_prevention_current","visit_summary","preventive_context","heartworm_prevention_current","boolean","yes|no|unknown|not_reported","","Current heartworm prevention.","monthly HWP; Sentinel; Heartgard; Simparica Trio","Medication context."
"flea_tick_prevention_current","visit_summary","preventive_context","flea_tick_prevention_current","boolean","yes|no|unknown|not_reported","","Current flea/tick prevention.","Bravecto; NexGard; Advantix; Simparica Trio","Medication context."
"vaccination_status_raw","visit_summary","preventive_context","vaccination_status_raw","string","","","Vaccine reminders/due dates/administered vaccines.","Rabies; DHPP; DAPP; Bordetella; Leptospira; CIV; Lyme","Use vaccine_events if detailed tracking needed."
"allergies_sensitivities_raw","visit_summary","lifestyle_exposure_context","allergies_sensitivities_raw","string","","","Owner-reported allergies/sensitivities.","Pre-exam allergy questions; food sensitivity notes","Separate from diagnosed allergy."
"behavior_temperament_raw","visit_summary","behavior_context","behavior_temperament_raw","string","","","Behavior notes.","relaxed dog; nervous; shyness around ears; storm anxiety","Use clinical_sign anxiety_nervousness if abnormal."
"general_appearance_exam","visit_summary","body_system_exam","general_appearance_exam","string","","","General appearance, mentation, hydration.","BAR; QAR; bright alert responsive; lethargic mildly dehydrated","Summarize concisely."
"eyes_exam","visit_summary","body_system_exam","eyes_exam","string","","","Ocular exam summary.","nuclear sclerosis; ocular discharge; clear externally","Add phenotype event if abnormal."
"ears_exam","visit_summary","body_system_exam","ears_exam","string","","","Otic exam summary.","otitis; cerumen; reactive to otoscope; ears normal","Add body site/laterality."
"nose_exam","visit_summary","body_system_exam","nose_exam","string","","","Nasal exam summary.","unilateral discharge; epistaxis; nasal alopecia; nose normal","Add respiratory/nasal phenotype events."
"oral_dental_exam","visit_summary","body_system_exam","oral_dental_exam","string","","","Oral and dental exam summary.","periodontal disease; tartar; tooth fracture; missing tooth","Add dental phenotype events."
"skin_coat_exam","visit_summary","body_system_exam","skin_coat_exam","string","","","Skin and coat exam summary.","alopecia; erythema; pyoderma; mass; wound; no fleas","Add dermatology phenotype events."
"lymph_nodes_exam","visit_summary","body_system_exam","lymph_nodes_exam","string","","","Peripheral lymph node exam.","WNL; no peripheral lymphadenopathy","Do not infer normal if absent."
"cardiovascular_exam","visit_summary","body_system_exam","cardiovascular_exam","string","","","Heart rhythm/sounds, murmur, pulses.","no murmur; normal sinus rhythm; tachycardic","Add phenotype if abnormal."
"respiratory_exam","visit_summary","body_system_exam","respiratory_exam","string","","","Lung sounds, cough, respiratory effort.","clear lungs; hacking cough; crackles/wheezes absent","Add respiratory phenotype events."
"abdomen_gi_exam","visit_summary","body_system_exam","abdomen_gi_exam","string","","","Abdominal palpation and GI exam.","soft nonpainful; no masses; organomegaly absent","Add GI phenotype if abnormal."
"urogenital_exam","visit_summary","body_system_exam","urogenital_exam","string","","","Urogenital exam summary.","external GU WNL; urination normal; kidneys normal","Add urinary phenotype if abnormal."
"perineal_anal_gland_exam","visit_summary","body_system_exam","perineal_anal_gland_exam","string","","","Anal/perineal/rectal region.","anal gland abscess; perianal mass; anal tone decreased","Add anal/perineal phenotype."
"musculoskeletal_gait_exam","visit_summary","body_system_exam","musculoskeletal_gait_exam","string","","","Gait, lameness, joints, muscle mass, spine.","ambulatory x4; no lameness; hindlimb ataxia; muscle wasting","Add MSK/neuro phenotype events."
"neurologic_exam","visit_summary","body_system_exam","neurologic_exam","string","","","Neurologic exam summary.","proprioceptive deficits; ataxia; cranial nerves normal","Add neuro phenotype events."
"rectal_exam","visit_summary","body_system_exam","rectal_exam","string","","","Rectal exam summary.","normal stool; anal sacs empty; decreased anal tone","Add perineal phenotype if abnormal."
"rehab_function_exam","visit_summary","body_system_exam","rehab_function_exam","string","","","Rehab-specific function metrics.","ball time; board reps; gait improving; acupuncture","Store detailed rehab metrics in procedure_events if needed."
"lethargy","phenotype_events","clinical_sign","lethargy","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Low energy or listlessness.","sample report lethargy; vaccine reaction warnings; sample report call-if lethargic","Use only if patient-specific or explicitly relevant."
"fever","phenotype_events","clinical_sign","fever","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Fever or high temperature as diagnosis/sign.","sample report FEVER with temp 103.8","Prefer diagnosis/sign text over single temp if ambiguous."
"dehydration","phenotype_events","clinical_sign","dehydration","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Dehydration or euhydration status.","mildly dehydrated; euhydrated; hydration adequate","Capture severity."
"decreased_appetite_anorexia","phenotype_events","clinical_sign","decreased_appetite_anorexia","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Decreased appetite, picky eating, anorexia, not eating.","sample report not eating; sample report picky/lack of appetite; sample report anorexia call-if","Capture duration."
"increased_appetite","phenotype_events","clinical_sign","increased_appetite","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Increased appetite.","sample report appetite up/down with Cushing discussion","Keep status suspected if in endocrine workup."
"vomiting","phenotype_events","clinical_sign","vomiting","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Vomiting or regurgitation.","sample report vomited once; Winston vomiting/not eating; sample report occasional vomiting","Record frequency."
"diarrhea","phenotype_events","clinical_sign","diarrhea","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Diarrhea of any duration.","sample reports; sample report","Use acute/chronic/watery/bloody rows too when explicit."
"acute_diarrhea","phenotype_events","clinical_sign","acute_diarrhea","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Acute diarrhea explicitly diagnosed.","sample report DIARRHEA ACUTE","Keep source status."
"chronic_diarrhea","phenotype_events","clinical_sign","chronic_diarrhea","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Chronic diarrhea or ongoing loose stools.","sample report DIARRHEA CHRONIC; sample report chronic GI","Use duration if stated."
"watery_diarrhea","phenotype_events","clinical_sign","watery_diarrhea","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Very watery diarrhea.","sample report VERY watery diarrhea","Severity descriptor."
"bloody_stool_or_hematochezia","phenotype_events","clinical_sign","bloody_stool_or_hematochezia","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Blood in stool or bloody diarrhea.","sample report blood in stool; sample report bloody stools warning","Avoid generic bloodwork lines."
"soft_stool","phenotype_events","clinical_sign","soft_stool","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Soft, loose, or smaller stools.","sample report smaller BMs slightly loose; sample report formed yet soft stools","Capture stool character."
"constipation_straining","phenotype_events","clinical_sign","constipation_straining","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Constipation, straining, abnormal defecation.","sample report defecated all over house; sample report no straining","Use absent if explicitly no straining."
"weight_loss","phenotype_events","clinical_sign","weight_loss","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Weight loss.","sample report WEIGHT LOSS; sample report weight loss recommendation","Do not infer from isolated weights."
"weight_gain","phenotype_events","clinical_sign","weight_gain","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Weight gain.","sample report gradual weight gain","May be endocrine context."
"failure_to_gain_weight","phenotype_events","clinical_sign","failure_to_gain_weight","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Failure to gain weight or chronic underweight.","sample report failure to gain weight; malabsorption workup","Preserve historical/current."
"overweight_obesity","phenotype_events","clinical_sign","overweight_obesity","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Overweight or obesity.","AVIE overweight; high BCS in sample report","Use BCS evidence."
"cough","phenotype_events","clinical_sign","cough","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Cough, hacking cough, gagging cough.","sample report cough; sample report dry hacking cough","Capture productive/nonproductive."
"hemoptysis_coughing_blood","phenotype_events","clinical_sign","hemoptysis_coughing_blood","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Coughing up blood.","sample report coughing blood","Separate from epistaxis."
"sneezing","phenotype_events","clinical_sign","sneezing","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Sneezing.","sample report grass seed sneezed out; vaccine warnings","Use patient-specific evidence."
"nasal_discharge","phenotype_events","clinical_sign","nasal_discharge","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Any nasal discharge.","sample report mucopurulent discharge; sample report serosanguinous nostril fluid","Capture character."
"unilateral_nasal_discharge","phenotype_events","clinical_sign","unilateral_nasal_discharge","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Discharge from one nostril.","sample report left nostril discharge; sample report left nostril","Use laterality."
"mucopurulent_nasal_discharge","phenotype_events","clinical_sign","mucopurulent_nasal_discharge","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Mucopurulent nasal discharge.","sample report chronic rhinitis notes","Subtype of nasal discharge."
"epistaxis_bloody_nose","phenotype_events","clinical_sign","epistaxis_bloody_nose","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Bloody nose or serosanguinous nasal fluid.","sample report Bloody Nose","Use body_site nose."
"panting_or_tachypnea","phenotype_events","clinical_sign","panting_or_tachypnea","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Panting or increased respiratory rate.","sample report other: panting; sample report RR panting","Can be physiologic; keep evidence."
"dyspnea_respiratory_distress","phenotype_events","clinical_sign","dyspnea_respiratory_distress","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Difficulty breathing or respiratory distress.","Respiratory exam and discharge instructions","Only if patient-specific."
"pu_pd","phenotype_events","clinical_sign","pu_pd","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Polyuria/polydipsia or increased drinking/urination.","sample report no PU/PD; sample report drinks more water","Store absent when explicitly negated."
"urinary_incontinence","phenotype_events","clinical_sign","urinary_incontinence","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Urinary incontinence or Proin-treated leakage.","sample report Proin in current meds","Do not infer diagnosis from Proin alone unless source states it."
"incomplete_bladder_emptying","phenotype_events","clinical_sign","incomplete_bladder_emptying","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Incomplete bladder emptying or posturing changes.","sample report not emptying bladder completely","Often neuro context."
"hematuria","phenotype_events","clinical_sign","hematuria","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Blood in urine.","UA blood/HGB; UTI records","Use lab_results for UA value."
"pruritus_itching","phenotype_events","clinical_sign","pruritus_itching","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Itching or pruritus.","sample report itchy; sample report pruritus; sample report rash/itch","Include severity if stated."
"licking_chewing_self","phenotype_events","clinical_sign","licking_chewing_self","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Excessive licking or chewing.","sample report chewing feet; sample report chews bandage; sample report licking lesion","Use body_site."
"alopecia_poor_hair_regrowth","phenotype_events","clinical_sign","alopecia_poor_hair_regrowth","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Alopecia or poor hair regrowth.","sample report clipper alopecia; U-sample report nasal alopecia","Capture site."
"rash_erythema","phenotype_events","clinical_sign","rash_erythema","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Rash, redness, erythema.","sample report rash; sample report belly rash; sample report erythema","Use severity/site."
"papules_pustules_collarettes","phenotype_events","clinical_sign","papules_pustules_collarettes","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Papules, pustules, epidermal collarettes.","sample report pustules/papules; sample report collarettes","Derm subtype."
"hyperpigmentation","phenotype_events","clinical_sign","hyperpigmentation","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Skin hyperpigmentation.","sample report black pigmentation; sample report mammary hyperpigmentation","Site matters."
"scaling_dander","phenotype_events","clinical_sign","scaling_dander","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Scale, dander, crusting.","sample report crusted nipple/rash; sample report coat scale","Derm subtype."
"hot_spot_moist_dermatitis","phenotype_events","clinical_sign","hot_spot_moist_dermatitis","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Hot spot or moist dermatitis.","sample report hot spot; sample report hot spot; sample report pyotraumatic dermatitis","Clinical sign/diagnosis overlap."
"skin_mass_lump","phenotype_events","clinical_sign","skin_mass_lump","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Mass, lump, growth, subcutaneous mass.","sample report lip mass; sample report neck lump; sample report abdominal mass; sample report under eye lump","Use oncology phenotype if diagnosed."
"wound_laceration_ulcer","phenotype_events","clinical_sign","wound_laceration_ulcer","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Wound, laceration, ulcer, puncture, sore.","sample report paw laceration; sample report pad wound; sample report snake wound; sample report sores","Capture site and healing status."
"necrosis_or_draining_tracts","phenotype_events","clinical_sign","necrosis_or_draining_tracts","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Necrosis or draining tracts.","sample report rattlesnake necrosis and draining tracts","Important wound severity."
"ear_pain_sensitivity","phenotype_events","clinical_sign","ear_pain_sensitivity","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Ear pain or sensitivity.","sample report screaming/reactive ear handling; sample report shyness around ears","Use laterality."
"ear_discharge_odor_cerumen","phenotype_events","clinical_sign","ear_discharge_odor_cerumen","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Ear discharge, odor, debris, cerumen.","sample report minimal cerumen; sample report ear exudate/hair","Can be normal or abnormal."
"ocular_discharge","phenotype_events","clinical_sign","ocular_discharge","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Eye discharge or crusting.","sample report mucoid discharge; sample report purulent discharge","Use laterality if stated."
"facial_swelling","phenotype_events","clinical_sign","facial_swelling","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Facial or muzzle swelling.","sample report lump under eye; sample report muzzle swelling after snake bite","May be dental/allergy/trauma."
"dental_tartar_calculus","phenotype_events","clinical_sign","dental_tartar_calculus","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Tartar or calculus.","sample report calculi; sample report tartar staining","Dental severity."
"gingivitis_periodontal_disease","phenotype_events","clinical_sign","gingivitis_periodontal_disease","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Gingivitis or periodontal disease.","sample report mild gingivitis; sample report periodontal disease 2/4","Use grade if given."
"tooth_fracture","phenotype_events","clinical_sign","tooth_fracture","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Fractured tooth or slab fracture.","sample report fractured 108/208; sample report tooth root rule-out","Use tooth number if available."
"oral_mass_or_erosion","phenotype_events","clinical_sign","oral_mass_or_erosion","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Oral/lip mass or erosion.","sample report lip papilloma; sample report oral erosion","Link to pathology if available."
"lameness_limping","phenotype_events","clinical_sign","lameness_limping","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Lameness or limping.","sample report limping; sample report limping; sample report right pelvic limb lameness","Capture limb/laterality."
"gait_abnormality","phenotype_events","clinical_sign","gait_abnormality","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Abnormal gait, scuffing, off-loading limb.","sample report toe scuffing and gait changes","Often neuro/MSK."
"pain_musculoskeletal","phenotype_events","clinical_sign","pain_musculoskeletal","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Pain localized to spine, limb, psoas, neck, abdomen, wound.","sample report psoas/cervical pain; sample report ear pain; sample report paw wound","Capture site and severity."
"hindlimb_weakness","phenotype_events","clinical_sign","hindlimb_weakness","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Hindlimb weakness.","sample report hindlimb weakness","Neurologic phenotype."
"paraparesis","phenotype_events","clinical_sign","paraparesis","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Paraparesis or non-ambulatory paraparetic status.","sample report paraparesis","Capture ambulatory/non-ambulatory."
"ataxia_proprioceptive_deficits","phenotype_events","clinical_sign","ataxia_proprioceptive_deficits","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Ataxia, proprioceptive deficits, scuffing.","sample report proprioceptive ataxia","Capture limb."
"collapse_episode","phenotype_events","clinical_sign","collapse_episode","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Collapse or hind-leg collapse episode.","sample report hind legs collapsed after leash correction","Event-specific."
"muscle_wasting","phenotype_events","clinical_sign","muscle_wasting","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Decreased muscle mass or muscle wasting.","sample report decreased muscle mass; hips and hind limbs wasted","Capture distribution."
"bruising_ecchymoses","phenotype_events","clinical_sign","bruising_ecchymoses","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Bruising or ecchymosis.","sample report elbows/stifles/inguinal ecchymoses","Heme/immune context."
"bleeding_tendency","phenotype_events","clinical_sign","bleeding_tendency","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Bleeding concern or coagulopathy sign.","sample report bloody nose; sample report nail trim bleeding watch","Separate sign from lab coags."
"anxiety_nervousness","phenotype_events","clinical_sign","anxiety_nervousness","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Nervousness, anxiety, shyness, storm distress.","sample report nervous despite trazodone; sample report shyness around ears; sample report storm rough day","Behavior context."
"apparently_healthy","phenotype_events","diagnosis_problem","apparently_healthy","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Healthy or normal physical exam.","sample report ideal healthy weight; sample report apparently healthy puppy; sample report apparently healthy","Normal finding still needs evidence."
"underweight","phenotype_events","diagnosis_problem","underweight","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Underweight or thin body condition.","sample report underweight; BCS 2.5/9","Capture BCS."
